,quality_score,Owner,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Color,Category Two Defects,Expiration
230,84.17,AFCA,Uganda,,Great Lakes Coffee,Great Lakes Coffee,1500-1700m,Mt. Rwenzori,,320,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,0.11,0,Green,1,"February 12th, 2013"
231,84.13,PT.ROYAL PACIFIC INDAH INTERNATIONAL,Indonesia,"MUS, EMAN",Dry Mill or Hulling Facility,PT. ROYAL PACIFIC INDAH INTERNATIONAL,,ACEH TENGAH,ANTON GAYO,2,2 kg,Specialty Coffee Association of Indonesia,2017,"May 24th, 2017",PT.ROYAL PACIFIC INDAH INTERNATIONAL,Mandheling,Completed,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,0.12,0,Bluish-Green,0,"May 24th, 2018"
232,84.08,CARCAFE LTDA CI,Colombia,,NEIVA,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,Almacafé,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,0.0,1,Green,3,"November 9th, 2018"
233,84.08,"Lin, Che-Hao Krude 林哲豪",Taiwan,CHANG YU LIANG 張玉良,CHANG YU LIANG 張玉良,Taiwan Coffee Laboratory,968,"Nanxi Dist., Tainan City 臺南市楠西區",CHANG YU LIANG 張玉良,10,20 kg,Specialty Coffee Association,2016,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,0.1,0,Bluish-Green,4,"May 18th, 2017"
234,84.08,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,BENEFICIO IXCHEL,"UNEX GUATEMALA, S.A.",,ORIENTE,MARGARITA AVILA DE NUYENS,50,69 kg,Asociacion Nacional Del Café,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,0.1,0,Green,4,"April 27th, 2017"
235,84.08,Racafe & Cia S.C.A,Colombia,,,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,200,70 kg,Almacafé,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,0,,2,"November 5th, 2015"
236,84.08,LUSSO LAB,Guatemala,Aprocafi,,LUSSO COFFEE LAB,1550,"Aldea Xeucalvitz, Ixil Region, Quiche Department",Asociacion de Productores de Cafe de la Region Ixil,1,2 kg,Specialty Coffee Association,2014,"June 16th, 2014",LUSSO LAB,Bourbon,Completed,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,0.1,0,Bluish-Green,10,"June 16th, 2015"
237,84.08,Kona Pacific Farmers Cooperative,United States (Hawaii),,,Kona Pacific Farmers Cooperative,,Kona,,14,100 lbs,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8.0,0.11,1,Green,9,"January 24th, 2014"
238,84.08,ANDRES MARTINEZ LEON,Mexico,LA LAGUNILLA,AGROINDUSTRIAS UNIDAS DE MEXICO S.A. DE C.V.,,1480,SANTO DOMINGO CACALOTEPEC,ANDRES MARTINEZ LEON,300,1 kg,AMECAFE,2012,"September 4th, 2012",ANDRES MARTINEZ LEON,Typica,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,0.11,1,Green,10,"September 4th, 2013"
239,84.08,Steven Kil,Ethiopia,,,The Specialty Coffee Appraisers Institute of Asia,1800m,"Ethiopia, Sidamo",,100,60 kg,Specialty Coffee Association,2012,"August 17th, 2012",Steven Kil,Other,Completed,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,0.09,0,,15,"August 17th, 2013"
240,84.0,Amanda Powers,Costa Rica,,Exclusive,Thrive Farmers,,,,275,150 lbs,Specialty Coffee Association,2017,"January 11th, 2018",Amanda Powers,,Completed,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.08,1,None,13,"January 11th, 2019"
241,84.0,Kyagalanyi Coffee Ltd,Ethiopia,Kerchanshe,Kerchanshe,Kyagalanyi Coffee Limited,1800,SIDAMO,Kerchanshe Trading P.L.C,320,60 kg,Uganda Coffee Development Authority,2017,"June 5th, 2017",Kyagalanyi Coffee Ltd,Gesha,Completed,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,0.11,3,Green,1,"June 5th, 2018"
242,84.0,Bismarck Castro,Honduras,Las Cuchillas,CIGRAH S.A. DE C.V.,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,275,66 kg,Instituto Hondureño del Café,2017,"May 11th, 2017",Bismarck Castro,Caturra,Completed,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,0.1,0,Green,5,"May 11th, 2018"
243,84.0,Juan Luis Alvarado Romero,Guatemala,FINCA LOS CERROS Y ANEXOS,BENEFICIO EXPORTCAFE AGUA SANTA,"Exportcafe, S.A.",5440 - 5760 METROS,HUEHUETENANGO,OTONIEL VILLATORO LOPEZ,275,69 kg,Asociacion Nacional Del Café,2015,"June 10th, 2015",Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,0.12,0,Green,7,"June 9th, 2016"
244,84.0,Olam Agro Colombia,Colombia,,Trilladora Asia,Olam international Ltd,1600,Huila,,250,1 kg,Almacafé,2014/2015,"December 18th, 2014",Olam Agro Colombia,Other,Completed,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,0.11,2,Green,7,"December 18th, 2015"
245,84.0,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,BENEFICIO IXCHEL,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2014,"August 8th, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,0.1,0,Green,1,"August 8th, 2015"
246,84.0,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,BENEFICIO IXCHEL,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2014,"June 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,0.1,0,Green,0,"June 27th, 2015"
247,84.0,Olam Agro Colombia,Colombia,,Trilladora Asia,Olam international Ltd,1480,Huila,,250,1 kg,Almacafé,2014,"May 27th, 2014",Olam Agro Colombia,,Completed,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.12,0,Green,0,"May 27th, 2015"
248,84.0,Compañia Colombiana Agroindustrial S.A,Colombia,,Trilladora Agricola Bucaramanga,ecom cca sa,1450,santander,,250,70 kg,Almacafé,2014,"May 27th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,0.12,0,Green,0,"May 27th, 2015"
249,84.0,Racafe & Cia S.C.A,Colombia,,,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,138,70 kg,Almacafé,2014,"April 8th, 2014",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,0.12,0,Green,3,"April 8th, 2015"
250,84.0,LUSSO LAB,Ethiopia,,,LUSSO COFFEE LAB,1550 m,Sidamo,,50,60 kg,Specialty Coffee Association,2013,"January 17th, 2014",LUSSO LAB,Other,Completed,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,0.09,4,Green,40,"January 17th, 2015"
251,84.0,Ipanema Coffees,Brazil,Fazenda Rio Verde,Ipanema Coffees,Ipanema Coffees,1260,South Minas,Ipanema Coffees,320,60 kg,Specialty Coffee Association,2013/2014,"January 2nd, 2014",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,0.1,0,Green,0,"January 2nd, 2015"
252,84.0,Exportadora de Cafe Condor S.A,Colombia,,trilladora Bonanza,Exportadora de Cafe Condor S.A,1700 msnm,Cauca,,270,70 kg,Almacafé,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,0.11,0,Green,1,"June 21st, 2014"
253,84.0,Ibero Kenya Limited,Kenya,,NKG/CK/HC/SS/KCCM,Ibero Kenya Limited,Above 1200 M,Blend,Blend of various producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 8th, 2013",Ibero Kenya Limited,SL34,Completed,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,0.0,0,Green,2,"March 8th, 2014"
254,84.0,Doi Tung Development Project,Thailand,Doi Tung Development Project,Doi Tung Development Project,Mae Fah Luang Foundation,-,Thailand,Doi Tung Development Project,2,1 kg,Specialty Coffee Association,2012,"June 21st, 2012",Doi Tung Development Project,Other,Completed,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,0,Green,0,"June 21st, 2013"
255,84.0,Taylor Winch (Coffee) Ltd.,Kenya,-,-,Taylor Winch (Coffee) Ltd.,1650,Central Kenya,-,150,9000 kg,Kenya Coffee Traders Association,2012,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,0.0,0,Bluish-Green,0,"May 31st, 2013"
256,84.0,AFCA,Uganda,,Bukonzo Joint CFS,Bukonzo Joint CFS,1700m,Kasese,,320,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,0.1,10,Green,26,"February 12th, 2013"
257,84.0,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,1,60 kg,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,Completed,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,0.06,0,,0,"August 15th, 2012"
258,83.92,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Dry mill,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,0.0,0,Green,3,"October 20th, 2018"
259,83.92,CAFES TOMARI SA DE CV,Mexico,CAFETAL,CAFES TOMARI SA DE CV,CAFES TOMARI SA DE C.V.,1300,VERACRUZ,CAFES TOMARI SA DE CV,200,69 kg,Centro Agroecológico del Café A.C.,2017,"July 3rd, 2017",CAFES TOMARI SA DE CV,Mundo Novo,Completed,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,0.11,0,Green,5,"July 3rd, 2018"
260,83.92,Sarawut Premjit,Thailand,Saveg Coffee Farm,dry mill,Intercof 1978 Group Company Limited,1350,Chiangrai,"Phatang, Saveg",45,40 kg,Specialty Coffee Association,2015,"October 18th, 2016",Sarawut Premjit,Catimor,Completed,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,0.1,0,Bluish-Green,1,"October 18th, 2017"
261,83.92,Ipanema Coffees,Brazil,Capoeirinha Farm,Dry mill,Ipanema Coffees,934,South of Minas Gerais,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,0.11,0,Green,7,"August 16th, 2017"
262,83.92,"Lin, Che-Hao Krude 林哲豪",Taiwan,Tsoustructive Garden 鄒築園,Tsoustructive Garden 鄒築園,Taiwan Coffee Laboratory,1200,"Leye, Alishan Township, Chiayi County 嘉義阿里山樂野村","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,0.11,0,Green,3,"May 18th, 2017"
263,83.92,CARCAFE LTDA CI,Colombia,,Neiva,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,250,70 kg,Almacafé,2016,"February 11th, 2016",CARCAFE LTDA CI,,Completed,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.11,1,Green,2,"February 10th, 2017"
264,83.92,ALMACAFE,Colombia,,Bachué,Racafe & Cia S.C.A,,La Plata,,226,70 kg,Almacafé,2016,"January 21st, 2016",ALMACAFE,,Completed,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,0.0,1,,5,"January 20th, 2017"
265,83.92,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,Very Famous Intl.名門義理國際股份有限公司,Very Famous Intl.名門義理國際股份有限公司,宸嶧國際,none,台灣,YANG TENG KO楊登嵙,1,2 kg,Blossom Valley International,2014,"November 7th, 2015",CQI Taiwan ICP CQI台灣合作夥伴,,Completed,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,0,Blue-Green,0,"November 6th, 2016"
266,83.92,Federacion Nacional de Cafeteros,Colombia,,,Federacion Nacional de Cafeteros,,Huila,,275,2 kg,Almacafé,2015,"August 18th, 2015",Federacion Nacional de Cafeteros,,Completed,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,0,,0,"August 17th, 2016"
267,83.92,Federacion Nacional de Cafeteros,Colombia,,,Federacion Nacional de Cafeteros,,Huila,,275,2 kg,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Completed,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,0.0,1,None,1,"March 11th, 2016"
268,83.92,Racafe & Cia S.C.A,Colombia,,,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275,70 kg,Almacafé,2014,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,0.0,0,Green,1,"December 12th, 2015"
269,83.92,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,神谷山莊園,神谷山莊園,宸嶧國際,950公尺,台中和平區,張瑞宏,10,60 kg,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Completed,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,0.06,0,Green,0,"November 23rd, 2015"
270,83.92,Compañia Colombiana Agroindustrial S.A,Colombia,,Trilladora Bonanza,ecom cca sa,1550,Santander,,250,70 kg,Almacafé,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Completed,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,0.12,0,Green,3,"January 17th, 2015"
271,83.92,OSCAR ORTEGA CARBALLO,Mexico,FINCA CUETZALINGO,"XICOTEPEC DE JUAREZ, PUEBLA",AGRO XICOTEPEC 2000,900,XICOTEPEC DE JUAREZ,OSCAR ORTEGA CARBALLO,48,1 kg,AMECAFE,2012,"July 3rd, 2012",OSCAR ORTEGA CARBALLO,Typica,Completed,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,0.12,10,Blue-Green,32,"July 3rd, 2013"
272,83.92,ALFREDO BOJALIL,Mexico,FINCA SANT ROSA,AGROINDUSTRIAS UNIDAS DE MEXICO,ECOMTRADING,1500,LA CONCORDIA,ARTURO LIEVANO MORENO,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Completed,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.11,0,,2,"June 6th, 2013"
273,83.92,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,COMUNIDAD LA YERBABUENA,CAFETALEROS DE LA YERBABUENA SPR DE RL,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,1400,LA YERBABUENA,coop,20,1 kg,AMECAFE,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Completed,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,0.0,0,Green,2,"April 2nd, 2013"
274,83.83,CARCAFE LTDA CI,Colombia,,cartago,CARCAFE LTDA CI,2527,Nariño,Jose Albeiro gomez,275,70 kg,Almacafé,2017,"June 30th, 2017",CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,1,Green,6,"June 30th, 2018"
275,83.83,Racafe & Cia S.C.A,Colombia,,Bachue,Racafe & Cia S.C.A,,Huila,La Plata,275,70 kg,Almacafé,2016,"March 14th, 2017",Racafe & Cia S.C.A,Caturra,Completed,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,0.0,1,Green,0,"March 14th, 2018"
276,83.83,"CECA, S.A.",Costa Rica,Gamboa,Beneficio Montañas del Diamante,"CECA,S.A.",1850,Tarrazu,Martin Gutierrez,275,69 kg,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Completed,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,0.0,0,Blue-Green,0,"June 6th, 2017"
277,83.83,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,BENEFICIO SIEMBRAS VISION (154),"SIEMBRAS VISION, S.A.",1500,ANTIGUA,FINCA MEDINA,100,69 kg,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,0.11,0,Green,6,"May 23rd, 2017"
278,83.83,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,優遊吧斯股份有限公司Yuyupas International Corp.,none,宸嶧國際,1200,台灣,鄭虞坪,167,30 kg,Blossom Valley International,2016,"February 23rd, 2016",CQI Taiwan ICP CQI台灣合作夥伴,,Completed,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,0,,0,"February 22nd, 2017"
279,83.83,Ipanema Coffees,Brazil,Rio Verde,Ipanema Comercial e Exportadora SA,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,0,Green,0,"October 7th, 2016"
280,83.83,"Lin, Che-Hao Krude 林哲豪",Taiwan,鄉舍咖啡 Hometown Coffee,鄉舍咖啡 Hometown Coffee,Taiwan Coffee Laboratory,480-570M,"Dongshan Dist., Tainan City 臺南市東山區",ZENG JIAN NAN 曾建男,8,18 kg,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,0.0,0,Green,1,"April 29th, 2016"
281,83.83,yasmin Cofffee Plantation Plc,Ethiopia,,,Yasmin Coffee Plantation Plc,1650-1703,Oromia,Sumeya Yasin,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",yasmin Cofffee Plantation Plc,,Completed,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,0.12,0,Green,4,"March 30th, 2016"
282,83.83,Ipanema Coffees,Brazil,Rio Verde,Ipanema Coffees,Ipanema Coffees,1200,South Minas Gerais,Ipanema Agrícola SA,300,2 kg,Specialty Coffee Association,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Completed,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,0.0,0,Green,1,"October 16th, 2015"
283,83.83,Eric Thormaehlen,Costa Rica,VARIOS,CORICAFE SA,CORICAFE S.A.,1200-1400,CENTRAL VALLEY - WEST VALLEY,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Completed,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,0.1,0,Green,3,"June 9th, 2015"
284,83.83,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,BENEFICIO IXCHEL,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2014,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,0.1,0,Green,1,"May 22nd, 2015"
285,83.83,Ipanema Coffees,Brazil,Fazenda Rio Verde,Ipanema Coffees,Ipanema Coffees,1260,South Minas,Ipanema Coffees,320,60 kg,Specialty Coffee Association,2013/2014,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,0.1,0,Green,0,"December 26th, 2014"
286,83.83,Garet Alban,Ecuador,Finca El Trueno,,Sultana Del Cafe Inc.,800 meters above sea level,"Province of Manabi, Ecuador",,1,5 lbs,Specialty Coffee Association,2013,"October 4th, 2013",Garet Alban,,Completed,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,0.09,0,Bluish-Green,0,"October 4th, 2014"
287,83.83,Exportadora de Cafe Condor S.A,Colombia,,Trilladora Bonanza,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250,70 kg,Almacafé,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.11,0,Green,1,"September 3rd, 2014"
288,83.83,Juan Luis Alvarado Romero,Guatemala,FINCA EL MORITO,BENEFICIO IXCHEL,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,0.11,0,Green,3,"April 26th, 2014"
289,83.83,FILEMON MENDOZA CAMPOS,Mexico,PREDIO CAÑADA DEL ENCINO,COLONIA BALTAZAR R.LEYVA MANCILLA,,1218,PETATLAN,FILEMON MENDOZA CAMPOS,20,1 kg,AMECAFE,2012,"July 26th, 2012",FILEMON MENDOZA CAMPOS,Bourbon,Completed,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,0.1,0,Green,2,"July 26th, 2013"
290,83.83,ALFREDO BOJALIL,Mexico,FINCA SANTA TERESA,AGROINDUSTRIAS UNIDAS DE MEXICO,ECOMTRADING,1300,"LA CONCORDIA, CHIAPAS",ERNST POHLENZ AGUILAR,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Pacas,Completed,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,0,,4,"June 6th, 2013"
291,83.83,Jacques Pereira Carneiro,Brazil,Fazenda do Sertão,Cocarive,Exportadora de Cafés Carmo de Minas LTDA,1.250 m,Carmo de Minas,Nazareth Dias Pereira,300,1 kg,NUCOFFEE,2011/2012,"December 21st, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Completed,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,0.12,0,Green,3,"December 20th, 2012"
292,83.83,Doi Chaang Coffee Company,Thailand,"Doi Chaang Coffee Original Co.,Ltd",Premium Grade A,,4921ft,"Doi Chaang Villiang, Chiang Rai, Thialand",Doi Chaang Community Enterprise Piko,175,50 kg,Specialty Coffee Association,2011,"September 20th, 2011",Doi Chaang Coffee Company,,Completed,,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,0.02,0,,2,"September 19th, 2012"
293,83.83,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,1,60 kg,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,Completed,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,0.01,0,,0,"August 15th, 2012"
294,83.83,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,,,Sidamo,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,0.1,0,,3,"June 17th, 2011"
295,83.75,Kennedy Macharia,Kenya,,SASINI MILLS,TAYLOR WINCH (COFFEE) LTD,1800,NYERI COUNTY,KAROGOTO,200,60 kg,Kenya Coffee Traders Association,,"January 11th, 2018",Kennedy Macharia,SL28,Completed,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,0.11,0,Green,2,"January 11th, 2019"
296,83.75,Ipanema Coffees,Brazil,Fazenda Capoeirinha,Dry mill,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,0.11,0,Green,5,"October 20th, 2018"
